route,year_month,rides,moving_avg,pct_diff
1,2013-08,46137,50379.833333333336,-0.08421689895758559
1,2013-09,45598,49710.916666666664,-0.08273668929192275
1,2013-10,52991,48417.166666666664,0.09446718278296615
1,2013-11,43651,47123.0,-0.07367951955520659
1,2013-12,40154,46727.583333333336,-0.14067886384023717
1,2014-01,42288,46457.583333333336,-0.0897503278079826
1,2014-02,44381,46318.833333333336,-0.04183683382929195
1,2014-03,45253,46139.916666666664,-0.01922232918351603
1,2014-04,43748,45511.0,-0.03873788754367076
1,2014-05,42050,44828.0,-0.061970197198179706
1,2014-06,40000,44295.916666666664,-0.09698222748146457
1,2014-07,42414,44055.416666666664,-0.03725799892181244
1,2014-08,38622,43429.166666666664,-0.11068982058908179
1,2014-09,42376,43160.666666666664,-0.01818013314591984
1,2014-10,46432,42614.083333333336,0.08959283804845418
1,2014-11,37696,42117.833333333336,-0.104987198613414
1,2014-12,38471,41977.583333333336,-0.08353466433473426
1,2015-01,41134,41881.416666666664,-0.01784602160464958
1,2015-02,42800,41749.666666666664,0.025157885492099796
1,2015-03,49330,42089.416666666664,0.172028597846252
1,2015-04,47255,42381.666666666664,0.1149868260647293
1,2015-05,40607,42261.416666666664,-0.039147212686118295
1,2015-06,42843,42498.333333333336,0.00811012196556722
1,2015-07,41213,42398.25,-0.027955163243765957
1,2015-08,38274,42369.25,-0.09665618343492037
1,2015-09,41736,42315.916666666664,-0.013704457148708762
1,2015-10,43390,42062.416666666664,0.03156222201529875
1,2015-11,37022,42006.25,-0.11865496205921738
1,2015-12,37526,41927.5,-0.10497883250849681
1,2016-01,37968,41663.666666666664,-0.08870238657183312
1,2016-02,37922,41257.166666666664,-0.08083848058721106
1,2016-03,41536,40607.666666666664,0.022861036093348608
1,2016-04,36566,39716.916666666664,-0.07933437263298798
1,2016-05,36741,39394.75,-0.06736303695289347
1,2016-06,36999,38907.75,-0.04905834955760742
1,2016-07,32072,38146.0,-0.1592303255911498
1,2016-08,36458,37994.666666666664,-0.040444272880404204
1,2016-09,35519,37476.583333333336,-0.0522348399778529
1,2016-10,36889,36934.833333333336,-0.0012409243306906062
1,2016-11,33396,36632.666666666664,-0.0883546561356894
1,2016-12,31828,36157.833333333336,-0.11974814125108904
1,2017-01,34505,35869.25,-0.03803397060155983
1,2017-02,33242,35479.25,-0.06305798459663042
1,2017-03,38973,35265.666666666664,0.10512585423027125
1,2017-04,33595,35018.083333333336,-0.040638527237118034
1,2017-05,36566,35003.5,0.04463839330352679
1,2017-06,36313,34946.333333333336,0.039107584009767285
1,2017-07,32057,34945.083333333336,-0.08264634271392501
1,2017-08,34510,34782.75,-0.00784153064378176
1,2017-09,33170,34587.0,-0.040969150258767746
1,2017-10,38573,34727.333333333336,0.11073889923403267
1,2017-11,34838,34847.5,-0.00027261640002869647
1,2017-12,29588,34660.833333333336,-0.14635635804101657
1,2018-01,37548,34914.416666666664,0.07542968162626239
1,2018-02,34625,35029.666666666664,-0.011552112970910303
1,2018-03,38140,34960.25,0.0909532969586888
1,2018-04,38582,35375.833333333336,0.09063155167133864
1,2018-05,38185,35510.75,0.0753081813253733
1,2018-06,35128,35412.0,-0.008019880266576301
1,2018-07,33415,35525.166666666664,-0.05939920525824409
1,2018-08,36643,35702.916666666664,0.026330715277696804
1,2018-09,35011,35856.333333333336,-0.023575565451012904
1,2018-10,42123,36152.166666666664,0.16515838147091239
1,2018-11,36524,36292.666666666664,0.006374106798435013
1,2018-12,30060,36332.0,-0.1726301882637895
1,2019-01,34921,36113.083333333336,-0.03300973562213147
1,2019-02,36274,36250.5,0.0006482669204562696
1,2019-03,37049,36159.583333333336,0.024596983280135442
1,2019-04,37632,36080.416666666664,0.04300347603154996
1,2019-05,38108,36074.0,0.05638409935133337
1,2019-06,36095,36154.583333333336,-0.0016480160422261564
1,2019-07,36287,36393.916666666664,-0.0029377620344058666
1,2019-08,36159,36353.583333333336,-0.005352521415816481
1,2019-09,36323,36462.916666666664,-0.0038372318908479414
1,2019-10,42528,36496.666666666664,0.16525710110512384
1,2019-11,35238,36389.5,-0.03164374338751563
1,2019-12,32725,36611.583333333336,-0.10615720434561927
1,2020-01,38338,36896.333333333336,0.03907343999855444
1,2020-02,38229,37059.25,0.031564319299500126
1,2020-03,20726,35699.0,-0.41942351326367683
1,2020-04,1968,32727.0,-0.9398661655513796
1,2020-05,2076,29724.333333333332,-0.9301582317517634
1,2020-06,3748,27028.75,-0.8613328400314479
1,2020-07,3789,24320.583333333332,-0.8442060394658845
1,2020-08,4031,21643.25,-0.8137525556466797
1,2020-09,4891,19023.916666666668,-0.7429025743910078
1,2020-10,4946,15892.083333333334,-0.6887758580005768
1,2020-11,3809,13273.0,-0.713026444662096
1,2020-12,4101,10887.666666666666,-0.6233352723264856
1,2021-01,3989,8025.25,-0.5029438335254354
1,2021-02,4483,5213.083333333333,-0.1400482759723132
1,2021-03,5397,3935.6666666666665,0.37130515795714414
1,2021-04,5455,4226.25,0.2907423839100858
1,2021-05,5697,4528.0,0.2581713780918728
1,2021-06,7053,4803.416666666667,0.46832983466629646
1,2021-07,8067,5159.916666666667,0.5633973416883347
1,2021-08,8679,5547.25,0.5645590157285141
1,2021-09,11928,6133.666666666667,0.9446769197326231
1,2021-10,12224,6740.166666666667,0.8136050048218392
1,2021-11,11684,7396.416666666667,0.5796838559212231
1,2021-12,11037,7974.416666666667,0.38405108001630206
1,2022-01,8534,8353.166666666666,0.02164847662563107
1,2022-02,10968,8893.583333333334,0.23324869053531094
1,2022-03,15569,9741.25,0.5982548440908507
1,2022-04,14952,10532.666666666666,0.41958351794417376
1,2022-05,15824,11376.583333333334,0.39092727019682233
1,2022-06,15775,12103.416666666666,0.30335098216068473
1,2022-07,15467,12720.083333333334,0.21595115335984427
1,2022-08,18489,13537.583333333334,0.3657533656302515
1,2022-09,17943,14038.833333333334,0.2780976576876046
1,2022-10,17051,14441.083333333334,0.18072859261481994
1,2022-11,15725,14777.833333333334,0.06409374400848113
1,2022-12,13301,14966.5,-0.11128186282698026
1,2023-01,16870,15661.166666666666,0.07718667191673677
1,2023-02,18743,16309.083333333334,0.1492368772003331
1,2023-03,21916,16838.0,0.3015797600665162
1,2023-04,19861,17247.083333333332,0.151557026550383
1,2023-05,21859,17750.0,0.23149295774647888
1,2023-06,20210,18119.583333333332,0.11536781106997501
1,2023-07,18395,18363.583333333332,0.0017108135213262416
1,2023-08,23985,18821.583333333332,0.274334872641781
1,2023-09,22578,19207.833333333332,0.17545792949057248
1,2023-10,24766,19850.75,0.24761029180257674
1,2023-11,21415,20324.916666666668,0.053632856223272685
1,2023-12,17146,20645.333333333332,-0.16949754585378451
1,2024-01,22000,21072.833333333332,0.043998196730387525
1,2024-02,23538,21472.416666666668,0.09619705901757675
1,2024-03,23141,21574.5,0.07260886694940787
1,2024-04,25410,22036.916666666668,0.15306512178427858
1,2024-05,22901,22123.75,0.03513192835753432
1,2024-06,20512,22148.916666666668,-0.07390504426476846
1,2024-07,21752,22428.666666666668,-0.03016972327081419
1,2024-08,20681,22153.333333333332,-0.06646102919049048
1,2024-09,24734,22333.0,0.10750906729951193
10,2001-01,4114,4114.0,0.0
10,2001-02,4417,4265.5,0.03551752432305708
10,2001-03,7010,5180.333333333333,0.3531947751109968
10,2001-04,5913,5363.5,0.10245175724806563
10,2001-05,8805,6051.8,0.45493902640536693
10,2001-06,22176,8739.166666666666,1.5375417183179176
10,2001-07,26763,11314.0,1.365476400919215
10,2001-08,28480,13459.75,1.1159382603688777
10,2001-09,6936,12734.888888888889,-0.45535449421536633
10,2001-10,4021,11863.5,-0.6610612382517806
10,2001-11,5033,11242.545454545454,-0.5523255813953488
10,2001-12,6613,10856.75,-0.39088585442236395
10,2002-01,3471,10803.166666666666,-0.678705317885188
10,2002-02,3515,10728.0,-0.6723527218493661
10,2002-03,5382,10592.333333333334,-0.49189665481322975
10,2002-04,4539,10477.833333333334,-0.5667997518570952
10,2002-05,7649,10381.5,-0.2632085922072918
10,2002-06,24085,10540.583333333334,1.2849779028674881
10,2002-07,38785,11542.416666666666,2.3602148596842087
10,2002-08,39243,12439.333333333334,2.154751058470443
10,2002-09,7880,12518.0,-0.3705064706822176
10,2002-10,6003,12683.166666666666,-0.5266954887712059
10,2002-11,7021,12848.833333333334,-0.4535690659333532
10,2002-12,9436,13084.083333333334,-0.2788184116834067
10,2003-01,4326,13155.333333333334,-0.6711599858105711
10,2003-02,3713,13171.833333333334,-0.7181106148220319
10,2003-03,5791,13205.916666666666,-0.5614844356380663
10,2003-04,4587,13209.916666666666,-0.6527608677824109
10,2003-05,7721,13215.916666666666,-0.41578021451406444
10,2003-06,22658,13097.0,0.7300145071390395
10,2003-07,34704,12756.916666666666,1.7204065768243373
10,2003-08,32670,12209.166666666666,1.675858303187496
10,2003-09,6128,12063.166666666666,-0.4920073501982619
10,2003-10,4657,11951.0,-0.6103254957744122
10,2003-11,7515,11992.166666666666,-0.37334093088543907
10,2003-12,13171,12303.416666666666,0.07051564267378307
10,2004-01,4922,12353.083333333334,-0.6015569662095158
10,2004-02,3782,12358.833333333334,-0.693984059984087
10,2004-03,4202,12226.416666666666,-0.656317945432363
10,2004-04,5282,12284.333333333334,-0.5700214365180583
10,2004-05,6970,12221.75,-0.4297052386114918
10,2004-06,26092,12507.916666666666,1.086038842066691
10,2004-07,37199,12715.833333333334,1.9254079559604165
10,2004-08,32439,12696.583333333334,1.5549393209459235
10,2004-09,8809,12920.0,-0.31818885448916406
10,2004-10,5322,12975.416666666666,-0.5898397610866702
10,2004-11,6177,12863.916666666666,-0.5198196505729852
10,2004-12,17053,13187.416666666666,0.29312665482878253
10,2005-01,2825,13012.666666666666,-0.7829038372867463
10,2005-02,5644,13167.833333333334,-0.5713797511612895
10,2005-03,5395,13267.25,-0.5933595884603063
10,2005-04,9265,13599.166666666666,-0.3187082541822415
10,2005-05,10516,13894.666666666666,-0.24316284425678913
10,2005-06,38382,14918.833333333334,1.57272128070783
10,2005-07,49449,15939.666666666666,2.1022606077082333
10,2005-08,53918,17729.583333333332,2.041131818288642
10,2005-09,15833,18314.916666666668,-0.1355134020993817
10,2005-10,6344,18400.083333333332,-0.6552189528127137
10,2005-11,8711,18611.25,-0.5319497615689435
10,2005-12,20234,18876.333333333332,0.07192427907962358
10,2006-01,4146,18986.416666666668,-0.7816333606920738
10,2006-02,3537,18810.833333333332,-0.8119700527178487
10,2006-03,4304,18719.916666666668,-0.770084446600991
10,2006-04,16556,19327.5,-0.14339671452593455
10,2006-05,9326,19228.333333333332,-0.5149865649648955
10,2006-06,30062,18535.0,0.6219045049905584
10,2006-07,32442,17117.75,0.8952257159965533
10,2006-08,35506,15583.416666666666,1.2784477088357817
10,2006-09,8010,14931.5,-0.46355021263771223
10,2006-10,5042,14823.0,-0.6598529312554814
10,2006-11,11238,15033.583333333334,-0.2524736284873312
10,2006-12,24252,15368.416666666666,0.5780415462447336
10,2007-01,4662,15411.416666666666,-0.6974969854599133
10,2007-02,5087,15540.583333333334,-0.6726635100570013
10,2007-03,9823,16000.5,-0.3860816849473454
10,2007-04,14535,15832.083333333334,-0.08192752059373112
10,2007-05,6774,15619.416666666666,-0.5663090277592526
10,2007-06,19306,14723.083333333334,0.31127424622333405
10,2007-07,41490,15477.083333333334,1.6807376497509756
10,2007-08,33331,15295.833333333334,1.1790901661672566
10,2007-09,9278,15401.5,-0.39759114371976756
10,2007-10,5072,15404.0,-0.670734874058686
10,2007-11,11318,15410.666666666666,-0.2655736286554767
10,2007-12,26123,15566.583333333334,0.6781460286189969
10,2008-01,5506,15636.916666666666,-0.6478845467190356
10,2008-02,3456,15501.0,-0.7770466421521193
10,2008-03,16267,16038.0,0.014278588352662427
10,2008-04,4056,15164.75,-0.7325376283816086
10,2008-05,9770,15414.416666666666,-0.3661777664848383
10,2008-06,34184,16654.25,1.0525691640272004
10,2008-07,45125,16957.166666666668,1.661116735303657
10,2008-08,41161,17609.666666666668,1.3374093774252775
10,2008-09,5689,17310.583333333332,-0.6713571177555157
10,2008-10,4566,17268.416666666668,-0.7355866442107701
10,2008-11,7965,16989.0,-0.5311672258520219
10,2008-12,13013,15896.5,-0.1813921303431573
10,2009-01,6520,15981.0,-0.5920155184281334
10,2009-02,3630,15995.5,-0.7730611734550342
10,2009-03,4450,15010.75,-0.7035457921822694
10,2009-04,13932,15833.75,-0.12010736559564222
10,2009-05,14758,16249.416666666666,-0.09178278194601854
10,2009-06,42568,16948.083333333332,1.511670444543877
10,2009-07,61402,18304.5,2.354475675380371
10,2009-08,57993,19707.166666666668,1.942736567915225
10,2009-09,17309,20675.5,-0.16282556649174143
10,2009-10,5139,20723.25,-0.7520176613224278
10,2009-11,7902,20718.0,-0.6185925282363163
10,2009-12,16324,20993.916666666668,-0.22244142152290153
10,2010-01,4998,20867.083333333332,-0.7604840158942513
10,2010-02,4432,20933.916666666668,-0.7882861544463331
10,2010-03,15269,21835.5,-0.30072588216436535
10,2010-04,16944,22086.5,-0.2328345369343264
10,2010-05,8756,21586.333333333332,-0.5943729829058509
10,2010-06,35766,21019.5,0.7015628345108114
10,2010-07,50949,20148.416666666668,1.528685049693731
10,2010-08,47889,19306.416666666668,1.4804706552657363
10,2010-09,11847,18851.25,-0.3715536105032823
10,2010-10,6987,19005.25,-0.6323647413214769
10,2010-11,9518,19139.916666666668,-0.5027146582839529
10,2010-12,21416,19564.25,0.09464967990083954
10,2011-01,5321,19591.166666666668,-0.7283980025011272
10,2011-02,4014,19556.333333333332,-0.7947467998431881
10,2011-03,17249,19721.333333333332,-0.1253633966601311
10,2011-04,30320,20836.0,0.4551737377615665
10,2011-05,9618,20907.833333333332,-0.5399810278444283
10,2011-06,38683,21150.916666666668,0.828904184609808
